timestamp,stage,model,prompt_tokens,completion_tokens,total_tokens
2025-08-10T10:45:32Z,RUN_TOTAL,,0,0,0
2025-08-10T10:46:39Z,RUN_TOTAL,,0,0,0
2025-08-10T10:49:15Z,RUN_TOTAL,,0,0,0
2025-08-10T12:50:51Z,sentiment,gpt-4.1-mini,1656,123,1779
2025-08-10T12:50:53Z,sentiment,gpt-4.1-mini,1460,99,1559
2025-08-10T12:50:55Z,sentiment,gpt-4.1-mini,1194,105,1299
2025-08-10T12:50:56Z,sentiment,gpt-4.1-mini,885,89,974
2025-08-10T12:51:00Z,sentiment,gpt-4.1-mini,2332,219,2551
2025-08-10T12:51:02Z,sentiment,gpt-4.1-mini,1725,97,1822
2025-08-10T12:51:04Z,sentiment,gpt-4.1-mini,810,92,902
2025-08-10T12:51:07Z,sentiment,gpt-4.1-mini,2795,166,2961
2025-08-10T12:51:09Z,sentiment,gpt-4.1-mini,1855,183,2038
2025-08-10T12:51:13Z,sentiment,gpt-4.1-mini,2110,94,2204
2025-08-10T12:51:15Z,sentiment,gpt-4.1-mini,1881,99,1980
2025-08-10T12:51:18Z,sentiment,gpt-4.1-mini,1852,177,2029
2025-08-10T12:51:19Z,sentiment,gpt-4.1-mini,1675,86,1761
2025-08-10T12:51:21Z,sentiment,gpt-4.1-mini,1533,120,1653
2025-08-10T12:51:24Z,sentiment,gpt-4.1-mini,1551,97,1648
2025-08-10T12:51:25Z,sentiment,gpt-4.1-mini,1681,101,1782
2025-08-10T12:51:27Z,sentiment,gpt-4.1-mini,1053,113,1166
2025-08-10T12:51:30Z,sentiment,gpt-4.1-mini,1200,175,1375
2025-08-10T12:51:58Z,final_summary_en,gpt-4.1-mini,1144,871,2015
2025-08-10T12:52:28Z,final_summary_en,gpt-4.1-mini,2734,1006,3740
2025-08-10T12:53:03Z,final_summary_en,gpt-4.1-mini,1801,1301,3102
2025-08-10T12:53:23Z,final_summary_en,gpt-4.1-mini,2315,1209,3524
2025-08-10T12:53:53Z,final_summary_en,gpt-4.1-mini,1814,1199,3013
2025-08-10T10:53:54Z,RUN_TOTAL,,39056,7821,46877
2025-08-10T13:07:08Z,sentiment,gpt-4.1-mini,1656,116,1772
2025-08-10T13:07:10Z,sentiment,gpt-4.1-mini,1481,93,1574
2025-08-10T13:07:11Z,sentiment,gpt-4.1-mini,1194,100,1294
2025-08-10T13:07:13Z,sentiment,gpt-4.1-mini,885,88,973
2025-08-10T13:07:16Z,sentiment,gpt-4.1-mini,2332,194,2526
2025-08-10T13:07:18Z,sentiment,gpt-4.1-mini,1725,93,1818
2025-08-10T13:07:20Z,sentiment,gpt-4.1-mini,810,93,903
2025-08-10T13:07:22Z,sentiment,gpt-4.1-mini,2795,127,2922
2025-08-10T13:07:25Z,sentiment,gpt-4.1-mini,1855,171,2026
2025-08-10T13:07:26Z,sentiment,gpt-4.1-mini,2110,101,2211
2025-08-10T13:07:28Z,sentiment,gpt-4.1-mini,1881,99,1980
2025-08-10T13:07:31Z,sentiment,gpt-4.1-mini,1852,177,2029
2025-08-10T13:07:32Z,sentiment,gpt-4.1-mini,1675,96,1771
2025-08-10T13:07:34Z,sentiment,gpt-4.1-mini,1551,108,1659
2025-08-10T13:07:36Z,sentiment,gpt-4.1-mini,1681,107,1788
2025-08-10T13:07:37Z,sentiment,gpt-4.1-mini,1173,89,1262
2025-08-10T13:07:41Z,sentiment,gpt-4.1-mini,1053,95,1148
2025-08-10T13:07:44Z,sentiment,gpt-4.1-mini,1200,167,1367
2025-08-10T13:08:30Z,sentiment,gpt-4.1-mini,1076,170,1246
2025-08-10T13:08:32Z,sentiment,gpt-4.1-mini,747,76,823
2025-08-10T13:08:35Z,sentiment,gpt-4.1-mini,2282,159,2441
2025-08-10T13:08:36Z,sentiment,gpt-4.1-mini,1413,94,1507
2025-08-10T13:08:40Z,sentiment,gpt-4.1-mini,2446,195,2641
